Time,Absorbance,Peak,Protein
0.11886271,272.2822622,NA,NA
0.064639706,248.9854907,NA,NA
0.091751208,206.9749193,NA,NA
0.105306959,102.9032763,NA,NA
0.145974212,183.1052764,NA,NA
0.145974212,148.7329907,NA,NA
0.450978608,-3.077938043,NA,NA
0.694982126,-3.077938043,NA,NA
0.938985643,-3.077938043,NA,NA
1.182989161,-3.077938043,NA,NA
1.426992679,-3.077938043,NA,NA
1.670996196,-3.077938043,NA,NA
1.914999714,-3.077938043,NA,NA
2.159003231,-3.077938043,NA,NA
2.403006749,-3.077938043,NA,NA
2.647010266,-3.077938043,NA,NA
2.891013784,-3.077938043,NA,NA
3.135017301,-3.5553309,NA,NA
3.379020819,11.24384768,NA,NA
3.449058866,54.20920486,NA,NA
3.460355325,143.0042764,NA,NA
3.460355325,108.6319906,NA,NA
3.562023457,-5.942295188,NA,NA
3.94836236,5.515133393,NA,NA
4.192365877,7.106442918,NA,NA
4.436369395,1.695990533,NA,NA
4.680372912,-3.077938043,NA,NA
4.92437643,-0.213580897,NA,NA
5.118998283,33.34031709,NA,NA
5.310715333,43.706562,NA,NA
5.375782937,147.0143764,NA,NA
5.331048959,105.7676335,NA,NA
5.331048959,71.39534773,NA,NA
5.453050718,253.2820265,NA,NA
5.473384344,217.4775621,NA,NA
5.493717971,181.6730978,NA,NA
5.636053356,138.7077406,NA,NA
5.709254411,81.13416203,NA,NA
5.859723247,30.81695484,NA,NA
6.103726765,18.40474055,NA,NA
6.347730282,0.26381196,NA,NA
6.5917338,-3.077938043,NA,NA
6.835737317,19.83691912,NA,NA
7.039073582,11.95993697,NA,NA
7.323744352,-3.077938043,NA,NA
7.56774787,-3.077938043,NA,NA
7.811751387,-3.077938043,NA,NA
8.055754905,-3.077938043,NA,NA
8.299758422,-3.077938043,NA,NA
8.54376194,-3.077938043,NA,NA
8.787765457,-3.077938043,NA,NA
9.031768975,-3.5553309,NA,NA
9.275772492,-3.077938043,NA,NA
9.51977601,-2.123152327,NA,NA
9.763779528,-3.077938043,NA,NA
10.00778305,-3.077938043,NA,NA
10.25178656,2.650776248,NA,NA
10.44059881,54.20920486,NA,NA
10.4347892,9.334276253,NA,NA
10.45512283,2450.243957,NA,NA
10.4619007,2325.644421,NA,NA
10.4619007,2218.708421,NA,NA
10.4619007,2087.902778,NA,NA
10.44834495,2044.937421,NA,NA
10.45512283,1863.050742,NA,NA
10.45512283,1827.246278,NA,NA
10.45512283,1792.873992,NA,NA
10.45512283,1758.501706,NA,NA
10.45512283,1724.129421,NA,NA
10.45512283,1689.757135,NA,NA
10.45512283,1655.384849,NA,NA
10.45512283,1621.012563,NA,NA
10.45512283,1586.640278,NA,NA
10.45512283,1552.267992,NA,NA
10.45512283,1517.895706,NA,NA
10.45512283,1483.52342,NA,NA
10.45512283,1449.151135,NA,NA
10.45512283,1414.778849,NA,NA
10.45512283,1380.406563,NA,NA
10.45512283,1346.034277,NA,NA
10.45512283,1311.661992,NA,NA
10.45512283,1277.289706,NA,NA
