Time,Absorbance,Peak,Protein
0.246243308,158.8038322,NA,NA
0.444027878,158.8038322,NA,NA
0.641812448,158.8038322,NA,NA
0.839597018,158.8038322,NA,NA
1.037381588,158.8038322,NA,NA
1.235166157,158.8038322,NA,NA
1.432950727,158.8038322,NA,NA
1.630735297,158.8038322,NA,NA
1.828519867,158.8038322,NA,NA
2.026304436,158.8038322,NA,NA
2.224089006,158.8038322,NA,NA
2.421873576,157.3621059,NA,NA
2.619658146,158.8038322,NA,NA
2.751514525,186.917496,NA,NA
2.817442715,153.3973584,NA,NA
2.85040681,210.7059808,NA,NA
2.883370905,70.13766161,NA,NA
2.883370905,184.7549065,NA,NA
2.916335,128.5275788,NA,NA
2.916335,102.5765045,NA,NA
2.971275159,26.16500791,NA,NA
2.932817048,-3.39038229,NA,NA
2.949299095,-18.52850898,NA,NA
3.160269303,54.13449912,NA,NA
3.11411957,22.56069203,NA,NA
3.081155475,3.09738629,NA,NA
3.213011855,117.7146312,NA,NA
3.147083665,89.60096735,NA,NA
3.476724615,170.337643,NA,NA
3.476724615,150.1534741,NA,NA
3.658027137,166.3728955,NA,NA
3.872293754,176.1045484,NA,NA
4.004150134,208.5433913,NA,NA
4.004150134,171.7793694,NA,NA
4.201934704,210.7059808,NA,NA
4.399719274,191.9635383,NA,NA
4.597503843,189.0800856,1,Unknown
4.795288413,190.5218119,1,Unknown
4.861216603,338.2987629,1,Unknown
4.861216603,308.7433727,1,Unknown
4.861216603,282.7922984,1,Unknown
4.861216603,256.8412241,1,Unknown
4.861216603,230.8901498,1,Unknown
4.861216603,210.7059808,1,Unknown
4.993072983,470.216724,1,Unknown
4.993072983,444.2656497,1,Unknown
4.993072983,418.3145754,1,Unknown
4.993072983,386.5965957,1,Unknown
4.993072983,366.4124268,1,Unknown
5.124929363,452.9160078,1,Unknown
5.124929363,426.9649335,1,Unknown
5.157893458,396.6886801,1,Unknown
5.157893458,370.7376058,1,Unknown
5.190857553,340.4613524,1,Unknown
5.223821648,310.1850991,1,Unknown
5.223821648,286.3966143,1,Unknown
5.289749837,251.7951818,1,Unknown
5.375456484,210.7059808,1,Unknown
5.520498502,176.1045484,1,Unknown
5.718283072,177.5462748,NA,NA
5.916067642,176.1045484,NA,NA
5.998477879,156.6412427,NA,NA
6.192966039,162.2639754,NA,NA
6.377564971,187.6383592,NA,NA
6.311636781,158.8038322,NA,NA
6.575349541,178.9880011,NA,NA
6.657759778,157.7225374,NA,NA
6.839062301,158.8038322,NA,NA
7.03684687,158.8038322,NA,NA
7.23463144,158.8038322,NA,NA
7.43241601,176.1045484,NA,NA
7.63020058,163.1290113,NA,NA
7.827985149,158.8038322,NA,NA
8.025769719,158.8038322,NA,NA
8.223554289,158.8038322,NA,NA
8.421338859,158.8038322,NA,NA
8.619123429,158.8038322,NA,NA
8.816907998,158.8038322,NA,NA
9.014692568,158.8038322,NA,NA
